A침o;No potabilizada Valor 10^9m3/a침o;Para su potabilizaci칩n 10^9m3/a침o;Total Agua
2000-01-01;45.25668;52.12091;97.37759
2001-01-01;47.81117;55.8486;103.65977
2002-01-01;47.8515;56.45608;104.30758
2003-01-01;49.36621;60.37788;109.74409
2004-01-01;49.54336;60.86565;110.40901
2005-01-01;48.25812;59.90243;108.16055
2006-01-01;44.60367;57.01638;101.62004999999999
2007-01-01;45.2565;55.06355;100.32005000000001
2008-01-01;45.0609;53.15843;98.21933
2009-01-01;43.03986;50.57884;93.61869999999999
2010-01-01;42.37729;49.50457;91.88186
2011-01-01;40.38357;49.41747;89.80104
2012-01-01;41.6193;49.02209;90.64139
2013-01-01;45.55458;49.41764;94.97222
2014-01-01;43.13077;48.70238;91.83314999999999
2016-01-01;42.78776;52.01705;94.80481
2018-01-01;38.75742;47.69709;86.45451
